person_id,bloc,birth,death,sex,deg,n_dyn_4hop,n_nodes_4hop,mother_pre_deg,mother_n_dyn_4hop,mother_n_nodes_4hop,father_pre_deg,father_n_dyn_4hop,father_n_nodes_4hop,mgf_pre_deg,mgf_n_dyn_4hop,mgf_n_nodes_4hop
p4316.htm#i43153,B0,1249,1246,M,2,2,54,3.0,2.0,77.0,3.0,2.0,101.0,7.0,1.0,96.0
p65966.htm#i659652,B3,1294,1364,M,4,5,37,2.0,7.0,72.0,3.0,2.0,29.0,6.0,13.0,169.0
p11287.htm#i112867,B1,1098,1157,M,14,11,124,3.0,5.0,17.0,3.0,10.0,52.0,2.0,4.0,7.0
p18700.htm#i186992,B26,1206,1264,M,4,5,108,4.0,1.0,21.0,6.0,1.0,32.0,1.0,1.0,13.0
p11409.htm#i114082,B1,1072,1129,M,7,3,87,2.0,2.0,22.0,2.0,3.0,38.0,1.0,1.0,10.0
p16084.htm#i160834,B25,1174,1232,M,1,4,21,,,,1.0,5.0,47.0,,,
p62942.htm#i629420,B4,1230,1258,M,4,5,110,8.0,5.0,123.0,5.0,4.0,57.0,5.0,9.0,206.0
p10466.htm#i104656,B34,1130,1176,M,5,11,141,5.0,17.0,186.0,3.0,11.0,125.0,8.0,9.0,120.0
p67303.htm#i673026,B16,1202,1260,M,6,3,41,,,,1.0,1.0,6.0,,,
p50630.htm#i506298,B26,1274,1334,M,3,2,48,3.0,2.0,58.0,3.0,1.0,35.0,4.0,2.0,56.0
p4050.htm#i40496,B0,1065,1111,M,5,7,119,10.0,6.0,97.0,6.0,8.0,165.0,1.0,5.0,39.0
p32195.htm#i321944,B26,1264,1324,M,5,2,18,2.0,1.0,10.0,3.0,1.0,13.0,2.0,1.0,8.0
p58175.htm#i581745,B27,1276,1309,M,3,8,71,1.0,3.0,31.0,3.0,6.0,62.0,,,
p12003.htm#i120028,B44,1166,1205,M,4,4,70,3.0,3.0,32.0,4.0,4.0,45.0,1.0,3.0,17.0
p11462.htm#i114615,B1,1191,1225,M,2,2,64,3.0,2.0,54.0,4.0,2.0,111.0,1.0,1.0,17.0
p67331.htm#i673306,B16,1060,1117,M,7,3,35,4.0,2.0,28.0,3.0,2.0,23.0,10.0,1.0,38.0
p70900.htm#i708995,B0,1246,1288,M,3,7,123,,,,5.0,5.0,127.0,,,
p900.htm#i8993,B1,1152,1209,M,2,6,69,5.0,6.0,45.0,5.0,8.0,94.0,1.0,3.0,23.0
p11358.htm#i113575,B34,1130,1160,M,2,14,186,2.0,16.0,228.0,4.0,13.0,154.0,29.0,23.0,394.0
p784.htm#i7833,B1,1298,1360,M,2,11,177,16.0,8.0,225.0,16.0,5.0,249.0,11.0,10.0,234.0
p10210.htm#i102096,B26,1292,1327,M,10,9,161,7.0,8.0,125.0,7.0,5.0,102.0,5.0,9.0,134.0
p11697.htm#i116967,B3,1117,1160,M,3,1,11,3.0,1.0,8.0,2.0,1.0,8.0,3.0,1.0,8.0
p56833.htm#i568328,B112,1280,1334,M,2,7,52,4.0,6.0,41.0,4.0,7.0,65.0,2.0,6.0,27.0
p10551.htm#i105502,B1,1274,1319,M,6,4,154,5.0,6.0,201.0,4.0,4.0,120.0,15.0,8.0,317.0
p4194.htm#i41939,B4,1239,1300,M,2,5,100,3.0,6.0,97.0,3.0,7.0,124.0,2.0,6.0,69.0
p59216.htm#i592160,B0,1280,1356,M,7,7,157,3.0,6.0,121.0,3.0,5.0,132.0,10.0,6.0,215.0
p2648.htm#i26478,B27,1240,1298,M,8,8,158,4.0,3.0,37.0,4.0,2.0,24.0,3.0,3.0,39.0
p10217.htm#i102163,B0,1132,1173,M,5,13,209,4.0,14.0,155.0,5.0,10.0,147.0,10.0,16.0,207.0
p22156.htm#i221552,B0,1160,1204,M,2,2,24,,,,2.0,2.0,12.0,,,
p60229.htm#i602286,B3,1269,1329,M,2,1,6,,,,1.0,1.0,4.0,,,
p10193.htm#i101929,B34,1250,1256,M,2,13,185,8.0,17.0,230.0,8.0,25.0,363.0,7.0,10.0,175.0
p10670.htm#i106699,B27,1058,1104,M,7,5,17,1.0,1.0,1.0,1.0,1.0,1.0,,,
p40547.htm#i405464,B3,1253,1276,M,2,9,79,5.0,8.0,128.0,5.0,10.0,119.0,8.0,11.0,171.0
p58844.htm#i588433,B16,1220,1280,M,4,2,13,1.0,2.0,9.0,3.0,2.0,14.0,,,
p22388.htm#i223878,B27,1199,1259,M,4,3,59,2.0,6.0,85.0,3.0,3.0,32.0,9.0,9.0,190.0
p11406.htm#i114060,B1,1075,1140,M,4,2,77,,,,6.0,3.0,48.0,,,
p60129.htm#i601283,B38,1141,1198,M,4,3,34,2.0,4.0,36.0,2.0,2.0,13.0,3.0,9.0,74.0
p847.htm#i8470,B1,1159,1174,M,2,6,79,7.0,7.0,89.0,7.0,10.0,134.0,5.0,5.0,55.0
p357.htm#i3565,B25,1249,1298,M,4,11,156,4.0,8.0,146.0,5.0,10.0,146.0,8.0,11.0,165.0
p72102.htm#i721019,B27,1188,1242,M,2,5,66,3.0,4.0,44.0,4.0,9.0,93.0,1.0,3.0,15.0
p10686.htm#i106855,B4,1266,1273,M,2,6,110,4.0,7.0,225.0,3.0,8.0,129.0,5.0,6.0,240.0
p11996.htm#i119959,B44,1155,1216,M,2,7,93,7.0,8.0,97.0,4.0,7.0,64.0,1.0,6.0,49.0
p798.htm#i7975,B0,1108,1188,M,3,5,75,,,,,,,,,
p4255.htm#i42541,B0,1145,1181,M,2,5,111,5.0,4.0,121.0,5.0,5.0,106.0,8.0,6.0,147.0
p15193.htm#i151925,B16,1293,1353,M,2,2,19,,,,1.0,3.0,27.0,,,
p10670.htm#i106693,B1,1060,1111,M,2,6,74,1.0,3.0,25.0,4.0,8.0,84.0,,,
p11286.htm#i112852,B26,1040,1100,M,3,2,18,,,,,,,,,
p61970.htm#i619691,B0,1180,1256,M,5,5,127,5.0,7.0,138.0,4.0,4.0,81.0,7.0,8.0,217.0
p16225.htm#i162244,B34,1089,1105,M,2,6,94,2.0,5.0,82.0,11.0,10.0,170.0,,,
p4267.htm#i42661,B0,1239,1278,M,4,5,159,5.0,4.0,133.0,5.0,3.0,87.0,7.0,6.0,154.0
p17620.htm#i176197,B36,1232,1310,M,5,8,87,4.0,5.0,35.0,5.0,8.0,65.0,2.0,3.0,17.0
p11474.htm#i114733,B1,1106,1151,M,3,3,43,,,,2.0,5.0,67.0,,,
p11392.htm#i113920,B1,1072,1136,M,11,7,130,2.0,1.0,5.0,2.0,1.0,7.0,1.0,1.0,4.0
p11452.htm#i114513,B4,1278,1332,M,6,12,209,6.0,4.0,129.0,6.0,6.0,176.0,9.0,4.0,135.0
p4090.htm#i40897,B1,1300,1338,M,2,4,69,3.0,4.0,110.0,3.0,5.0,121.0,7.0,5.0,169.0
p12011.htm#i120106,B4,1283,1349,M,4,8,78,1.0,3.0,34.0,6.0,6.0,96.0,,,
p58971.htm#i589708,B0,1280,1330,M,3,3,131,5.0,5.0,155.0,10.0,4.0,140.0,9.0,6.0,257.0
p4078.htm#i40772,B11,1284,1309,M,5,4,46,3.0,5.0,51.0,3.0,4.0,46.0,11.0,6.0,89.0
p71841.htm#i718410,B27,1290,1343,M,4,21,151,8.0,11.0,152.0,6.0,12.0,112.0,8.0,8.0,137.0
p32799.htm#i327985,B34,1259,1304,M,5,4,35,2.0,3.0,23.0,1.0,1.0,10.0,3.0,5.0,38.0
p1290.htm#i12895,B36,1164,1221,M,6,4,71,7.0,3.0,57.0,10.0,5.0,81.0,1.0,2.0,30.0
p11527.htm#i115266,B4,1225,1269,M,5,4,70,3.0,4.0,53.0,5.0,6.0,106.0,5.0,4.0,58.0
p4245.htm#i42447,B0,1146,1206,M,3,5,126,8.0,5.0,133.0,8.0,5.0,117.0,8.0,6.0,156.0
p1960.htm#i19600,B26,1157,1183,M,3,5,30,1.0,3.0,14.0,3.0,5.0,28.0,,,
p15530.htm#i155291,B25,1291,1351,M,2,4,46,3.0,1.0,22.0,4.0,1.0,34.0,2.0,1.0,17.0
p15187.htm#i151863,B3,1272,1295,M,2,6,84,3.0,7.0,80.0,6.0,11.0,117.0,11.0,9.0,86.0
p1660.htm#i16591,B0,1272,1328,M,7,5,184,7.0,7.0,229.0,8.0,6.0,240.0,12.0,11.0,339.0
p58996.htm#i589955,B26,1218,1275,M,2,1,6,,,,1.0,1.0,4.0,,,
p15059.htm#i150584,B0,1060,1119,M,7,3,63,3.0,4.0,71.0,3.0,3.0,41.0,5.0,5.0,119.0
p10781.htm#i107807,B44,1221,1296,M,5,14,255,4.0,6.0,152.0,7.0,6.0,137.0,9.0,7.0,185.0
p742.htm#i7417,B1,1260,1307,M,3,8,183,5.0,16.0,265.0,6.0,9.0,168.0,13.0,17.0,367.0
p62.htm#i617,B3,1113,1160,M,2,4,22,3.0,3.0,16.0,2.0,2.0,8.0,1.0,2.0,8.0
p15192.htm#i151917,B16,1100,1160,M,3,3,49,,,,2.0,2.0,28.0,,,
p4723.htm#i47225,B34,1288,1307,M,3,8,68,3.0,8.0,82.0,3.0,9.0,69.0,4.0,9.0,89.0
p15014.htm#i150133,B15,1108,1166,M,1,1,6,,,,1.0,1.0,6.0,,,
p11337.htm#i113364,B4,1262,1327,M,10,12,273,3.0,6.0,127.0,3.0,7.0,161.0,4.0,6.0,182.0
p11362.htm#i113614,B4,1219,1279,M,4,5,94,1.0,2.0,23.0,3.0,3.0,41.0,,,
p10240.htm#i102393,B4,1258,1296,M,10,4,201,8.0,5.0,191.0,14.0,5.0,191.0,14.0,8.0,235.0
p10260.htm#i102597,B3,1136,1203,M,3,11,125,4.0,3.0,27.0,10.0,4.0,36.0,1.0,2.0,21.0
p19828.htm#i198279,B26,1099,1131,M,3,3,30,3.0,3.0,22.0,6.0,4.0,45.0,1.0,2.0,12.0
p49170.htm#i491691,B38,1163,1219,M,2,1,10,2.0,1.0,9.0,2.0,1.0,15.0,1.0,1.0,5.0
p10694.htm#i106932,B25,1278,1316,M,8,16,249,3.0,8.0,125.0,3.0,9.0,109.0,7.0,12.0,193.0
p15042.htm#i150414,B4,1123,1166,M,1,3,28,,,,2.0,3.0,37.0,,,
p490.htm#i4896,B26,1286,1376,M,2,3,14,,,,2.0,7.0,37.0,,,
p27440.htm#i274400,B25,1250,1307,M,3,2,25,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,14.0
p4282.htm#i42812,B1,1227,1240,M,2,4,38,3.0,4.0,33.0,6.0,3.0,37.0,3.0,6.0,42.0
p11288.htm#i112874,B1,1280,1321,M,4,7,162,5.0,5.0,127.0,5.0,4.0,127.0,15.0,6.0,202.0
p366.htm#i3656,B4,1154,1218,M,8,11,184,5.0,7.0,74.0,5.0,7.0,140.0,1.0,5.0,35.0
p30068.htm#i300673,B38,1174,1238,M,3,1,30,,,,3.0,1.0,22.0,,,
p65424.htm#i654238,B3,1170,1236,M,3,2,16,,,,1.0,1.0,6.0,,,
p22389.htm#i223881,B27,1244,1304,M,3,1,17,,,,1.0,1.0,11.0,,,
p10459.htm#i104588,B4,1240,1271,M,2,12,179,7.0,22.0,330.0,6.0,13.0,173.0,22.0,34.0,586.0
p11378.htm#i113774,B4,1189,1249,M,5,1,59,2.0,1.0,12.0,3.0,2.0,24.0,1.0,1.0,7.0
p67303.htm#i673025,B16,1150,1210,M,2,2,18,,,,1.0,1.0,14.0,,,
p11478.htm#i114774,B1,1219,1248,M,2,1,48,4.0,1.0,34.0,5.0,3.0,43.0,3.0,2.0,44.0
p30136.htm#i301355,B38,1094,1140,M,4,1,21,2.0,1.0,17.0,3.0,1.0,22.0,2.0,1.0,11.0
p67332.htm#i673316,B16,1174,1228,M,3,2,18,2.0,2.0,18.0,1.0,2.0,12.0,3.0,2.0,26.0
p39238.htm#i392376,B26,1285,1368,M,7,9,97,4.0,6.0,111.0,4.0,4.0,67.0,10.0,8.0,176.0
p4314.htm#i43134,B0,1215,1301,M,6,3,120,3.0,3.0,105.0,3.0,3.0,67.0,8.0,4.0,140.0
p64710.htm#i647099,B0,1170,1218,M,6,1,46,1.0,1.0,20.0,3.0,3.0,41.0,,,
p846.htm#i8456,B0,1292,1362,M,5,7,21,0.0,1.0,0.0,2.0,6.0,30.0,,,
p10547.htm#i105463,B1,1170,1241,M,12,9,288,6.0,5.0,109.0,6.0,7.0,108.0,2.0,2.0,84.0
p795.htm#i7943,B16,1189,1243,M,6,6,69,,,,1.0,2.0,19.0,,,
p414.htm#i4134,B34,1217,1261,M,2,11,73,3.0,7.0,49.0,3.0,12.0,130.0,3.0,4.0,31.0
p4088.htm#i40874,B1,1269,1307,M,2,2,89,4.0,6.0,112.0,4.0,4.0,134.0,4.0,7.0,171.0
p39263.htm#i392623,B26,1256,1320,M,2,1,6,,,,1.0,1.0,4.0,,,
p51099.htm#i510988,B15,1266,1322,M,1,1,7,,,,1.0,1.0,4.0,,,
p15842.htm#i158413,B34,1280,1307,M,2,11,103,6.0,5.0,112.0,5.0,9.0,145.0,7.0,6.0,114.0
p10220.htm#i102200,B4,1126,1194,M,8,7,150,1.0,2.0,24.0,3.0,7.0,74.0,,,
p80.htm#i793,B34,1247,1325,M,8,15,153,3.0,9.0,69.0,3.0,10.0,39.0,7.0,15.0,166.0
p61721.htm#i617208,B0,1288,1350,M,4,5,33,1.0,4.0,22.0,3.0,4.0,58.0,,,
p778.htm#i7772,B1,1296,1352,M,6,6,152,3.0,4.0,152.0,3.0,4.0,174.0,13.0,6.0,213.0
p40566.htm#i405652,B34,1120,1190,M,5,7,51,4.0,9.0,96.0,4.0,8.0,45.0,9.0,11.0,178.0
p59549.htm#i595487,B3,1245,1304,M,2,7,84,4.0,9.0,82.0,2.0,11.0,123.0,14.0,4.0,55.0
p10550.htm#i105493,B1,1252,1279,M,2,4,142,7.0,5.0,156.0,6.0,6.0,200.0,7.0,5.0,121.0
p40231.htm#i402306,B4,1158,1218,M,4,3,37,1.0,2.0,16.0,3.0,3.0,43.0,,,
p459.htm#i4584,B26,1128,1185,M,2,4,40,,,,3.0,13.0,91.0,,,
p10254.htm#i102536,B4,1216,1250,M,5,6,205,5.0,12.0,212.0,5.0,5.0,198.0,15.0,14.0,240.0
p10474.htm#i104732,B26,1070,1118,M,2,10,115,4.0,6.0,63.0,8.0,7.0,69.0,6.0,7.0,85.0
p26757.htm#i267564,B25,1152,1208,M,2,4,29,3.0,4.0,19.0,4.0,4.0,44.0,1.0,2.0,11.0
p57107.htm#i571068,B26,1103,1158,M,2,2,28,,,,1.0,6.0,42.0,,,
